Time Stamp,SSID,BSSID,Strength,Primary Channel,Primary Frequency,Center Channel,Center Frequency,Width (Range),Distance,802.11mc,Security,Standard,FastRoaming
2026/06/24-15:49:48,MOVISTAR_D0C0,14:94:48:33:d0:c0,-88dBm,1,2412MHz,1,2412MHz,20MHz (2402 - 2422),"~248,4m",False,[WPA-PSK-TKIP+CCMP-128][WPA2-PSK-TKIP+CCMP-128][RSN-PSK-TKIP+CCMP-128][ESS][WPS],802.11n,
2026/06/24-15:49:48,MOVISTAR_EFDA,14:94:48:33:ef:da,-86dBm,1,2412MHz,1,2412MHz,20MHz (2402 - 2422),"~197,3m",False,[WPA-PSK-TKIP+CCMP-128][WPA2-PSK-TKIP+CCMP-128][RSN-PSK-TKIP+CCMP-128][ESS][WPS],802.11n,
2026/06/24-15:49:48,eduroam,54:33:c6:c1:ba:f1,-59dBm,48,5240MHz,48,5240MHz,20MHz (5230 - 5250),"~4,1m",False,[WPA2-EAP/SHA1+EAP/SHA256-CCMP-128][RSN-EAP/SHA1+EAP/SHA256-CCMP-128][ESS][MFPC],802.11ax,802.11k 802.11v
2026/06/24-15:49:48,*hidden*,54:33:c6:c1:ba:f2,-59dBm,48,5240MHz,48,5240MHz,20MHz (5230 - 5250),"~4,1m",False,[ESS],802.11ax,802.11k 802.11v
2026/06/24-15:49:48,InvitadosUPM,54:33:c6:c1:ba:f3,-59dBm,48,5240MHz,48,5240MHz,20MHz (5230 - 5250),"~4,1m",False,[ESS],802.11ax,802.11k 802.11v
2026/06/24-15:49:48,EventosUPM,54:33:c6:c1:ba:f4,-59dBm,48,5240MHz,48,5240MHz,20MHz (5230 - 5250),"~4,1m",False,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],802.11ax,802.11k 802.11v
2026/06/24-15:49:48,eduroam,54:33:c6:c1:bb:11,-57dBm,1,2412MHz,1,2412MHz,20MHz (2402 - 2422),"~7,0m",False,[WPA2-EAP/SHA1+EAP/SHA256-CCMP-128][RSN-EAP/SHA1+EAP/SHA256-CCMP-128][ESS][MFPC],802.11ax,802.11k 802.11v
2026/06/24-15:49:48,*hidden*,54:33:c6:c1:bb:12,-57dBm,1,2412MHz,1,2412MHz,20MHz (2402 - 2422),"~7,0m",False,[ESS],802.11ax,802.11k 802.11v
2026/06/24-15:49:48,InvitadosUPM,54:33:c6:c1:bb:13,-57dBm,1,2412MHz,1,2412MHz,20MHz (2402 - 2422),"~7,0m",False,[ESS],802.11ax,802.11k 802.11v
2026/06/24-15:49:48,EventosUPM,54:33:c6:c1:bb:14,-57dBm,1,2412MHz,1,2412MHz,20MHz (2402 - 2422),"~7,0m",False,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],802.11ax,802.11k 802.11v
2026/06/24-15:49:48,Nostromo Invitados,78:45:58:ce:20:ec,-68dBm,11,2462MHz,9,2452MHz,40MHz (2432 - 2472),"~24,3m",False,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],802.11n,802.11k 802.11v
